,id,text,predictions,prompt,output,questions,question
0,0,I transferred some money but it is not here yet,balance_not_updated_after_bank_transfer;transfer_not_received_by_recipient,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: balance not updated after bank transfer Option 2: transfer not received by recipient Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: balance not updated after bank transfer Option 2: transfer not received by recipient Question: I understand you are having issues with your bank transfer. Was the transfer not received by the recipient or was the balance not updated after the transfer? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand you,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your bank transfer. Was the transfer not received by the recipient or was the balance not updated after the transfer? ; I understand you,I understand you are having issues with your bank transfer. Was the transfer not received by the recipient or was the balance not updated after the transfer?
1,1,My contanctless has stopped working,beneficiary_not_allowed;card_not_working;lost_or_stolen_phone;unable_to_verify_identity;virtual_card_not_working,,,,
2,2,"I thought I left my card at a restaurant, but they claim not to have it and now I don't have any idea where it is. I'm so worried that someone might be using it fraudulently. Is there any way to look into this?",compromised_card;lost_or_stolen_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: compromised card Option 2: lost or stolen card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: compromised card Option 2: lost or stolen card Question: Option 1: I understand you have a compromised card. Is it lost or stolen? **END** Option 2: I understand you have a lost or stolen card. Is it compromised or not? **END** Option 3: I understand you have,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you have a compromised card. Is it lost or stolen?,Option 1: I understand you have a compromised card. Is it lost or stolen?
3,3,What type of card can I use to top up?,supported_cards_and_currencies;visa_or_mastercard,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: visa or mastercard Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: visa or mastercard Question: I understand you are looking for information about supported cards and currencies. Are you looking for information about Visa or Mastercard? **END** Set 4: Option 1: card expiration date Option 2: card expiration month Question: I understand,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are looking for information about supported cards and currencies. Are you looking for information about Visa or Mastercard? ; I understand,I understand you are looking for information about supported cards and currencies. Are you looking for information about Visa or Mastercard?
4,4,Tell me which cards and what currency is supported.,fiat_currency_support;supported_cards_and_currencies,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: fiat currency support Option 2: supported cards and currencies Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: fiat currency support Option 2: supported cards and currencies Question: Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'","Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn'"
5,5,"If my top-up didn't transfer, what went wrong?",top_up_failed;top_up_reverted,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up failed Option 2: top up reverted Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up failed Option 2: top up reverted Question: I understand you are having issues with your top up. Was your top up failed or reverted? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which is,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your top up. Was your top up failed or reverted? ; I understand your card has expired or been blocked. Which is,I understand you are having issues with your top up. Was your top up failed or reverted?
6,6,why is there a service fee on my statement?,card_payment_fee_charged;extra_charge_on_statement,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment fee charged Option 2: extra charge on statement Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment fee charged Option 2: extra charge on statement Question: Option 1: card payment fee charged Option 2: extra charge on statement Question: I see you have a charge on your statement. Is it a payment fee or an extra charge? **END** Set 4: Option 1: card payment due Option 2,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: card payment fee charged Option 2: extra charge on statement ; I see you have a charge on your statement. Is it a payment fee or an extra charge?,Option 1: card payment fee charged Option 2: extra charge on statement
7,7,Is there a transfer fee?,top_up_by_bank_transfer_charge;transfer_fee_charged,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: transfer fee charged Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: transfer fee charged Question: Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge? **END** Option 2: I understand you have a charge for your top up. Was it a transfer fee or a bank charge? **END** Option,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge?,Option 1: I understand you have a charge for your top up. Was it a transfer fee or a bank charge?
8,8,How do I add money to my card?,supported_cards_and_currencies;top_up_by_card_charge,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: top up by card charge Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: supported cards and currencies Option 2: top up by card charge Question: Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn't","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn't","Option 1: I'm sorry, I didn't understand your question. Could you please repeat it? Option 2: I'm sorry, I didn't understand your question. Could you please repeat it? Option 3: I'm sorry, I didn't"
9,9,My money is all gone. What ways are okay to add money to my account?,top_up_reverted;topping_up_by_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up reverted Option 2: topping up by card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up reverted Option 2: topping up by card Question: I understand you are having issues with your top up. Was your top up reverted or were you trying to top up with your card? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand you are,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your top up. Was your top up reverted or were you trying to top up with your card? ; I understand you are,I understand you are having issues with your top up. Was your top up reverted or were you trying to top up with your card?
