utterance,labels
ยกเลิกนาฬิกาปลุกสำหรับบ่ายนี้,cancel_alarm
ยกเลิกนาฬิกาปลุกสำหรับ 2 ทุ่มวันศุกร์,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 5:30 ,set_alarm
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้าพรุ่งนี้,set_alarm
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
บอกฉันนาฬิกาปลุกทั้งหมด,show_alarms
ปิดนาฬิกาปลุกทั้งหมด,cancel_alarm
ตั้งนาฬิกาปลุกทุกๆ 15 นาทีสำหรับ 1 ชั่วโมง,set_alarm
เมื่อไหร่นาฬิกาปลุกของฉันจะดัง,show_alarms
ตั้งนาฬิกาปลุกฉันสำหรับ 9 โมงเช้า,set_alarm
ตั้งนาฬิกาปลุก,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย 4:30,set_alarm
ตั้งนาฬิกาปลุกสำหรับบ่าย 5 โมง,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับตี 5,cancel_alarm
แสดงนาฬิกาปลุกให้ฉันดูหน่อย,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 9 โมงเช้าพรุ่งนี้,set_alarm
ยกเลิกนาฬิกาปลุกฉันสำหรับพรุ่งนี้เช้า,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 5:30,set_alarm
ตั้งนาฬิกาปลุกเพื่อโทรหา Christie Sheldon 9:55 คืนนี้,set_alarm
นาฬิกาปลุกฉันตั้งไว้กี่โมง,show_alarms
ตั้งนาฬิกาปลุกสำหรับ 6 ชั่วโมงจากนี้,set_alarm
นาฬิกาปลุกฉันสำหรับเที่ยง,set_alarm
ตั้งนาฬิกาปลุกสำหรับพรุ่งนี้เช้าตี 4,set_alarm
หยุดนาฬิกาปลุก,cancel_alarm
ตั้งนาฬิกาปลุกครั้งที่สองสำหรับ 8 โมง,set_alarm
ฉันมีเวลากี่ชั่วโมงกว่านาฬิกาปลุกถัดไปจะดัง?,time_left_on_alarm
ตั้งนาฬิกาปลุกสำหรับบ่ายพรุ่งนี้,set_alarm
ตั้งนาฬิกาปลุกของฉันสำหรับบ่ายวันนี้,set_alarm
กรุณาแสดงนาฬิกาปลุกของฉันทั้งหมดให้ฉันดู,show_alarms
แสดงนาฬิกาปลุกสำหรับวันอาทิตย์บ่าย 2:45,set_alarm
ยกเลิกนาฬิกาปลุกสำหรับวันจันทร์,cancel_alarm
ตั้งนาฬิกาปลุกสำหรับวันพุธที่ 15 ตอนเที่ยงวัน,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 6 โมงเช้า,set_alarm
นาฬิกาปลุกของฉันคืออะไร,show_alarms
ตั้งนาฬิกาปลุกทุกๆวันจันทร์ตอนตี 4,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 3 ทุ่ม,set_alarm
ตั้งนาฬิกาปลุกสำหรับ 11 โมงเช้าสุดสัปดาห์,set_alarm
