utterance,labels
Cambiar alarma de 7am a 7pm por favor ,modify_alarm
Borrar alarmas por 20 minutos ,cancel_alarm
Cancelar todas las alarmas ,cancel_alarm
Encender alarma para mañana en la mañana ,set_alarm
Establecer una alarma para hoy a las 6 pm ,set_alarm
Cuanto tiempo falta para mi próxima alarma? ,time_left_on_alarm
Detener la alarma por el resto de la semana ,cancel_alarm
Establecer alarma para mañana a las 4:30 am,set_alarm
Posponer todas las alarmas por 12 horas el lunes 21 ,snooze_alarm
Posponer alarma por favor ,snooze_alarm
Mostrar mis alarmas para mañana ,show_alarms
Detener la alarma ,cancel_alarm
Establecer una alarma para mañana a alas 5 am ,set_alarm
Configurar alarma para que suene a las 6 am ,set_alarm
Apagar alarma de las 10 pm de esta noche ,cancel_alarm
Cuántas alarmas tengo configuradas? ,show_alarms
Establecer alarma por 2 horas ,set_alarm
Establecer alarmas 20 minutos antes de las 5,set_alarm
Borrar todas mis alarmas ,cancel_alarm
Pausar mi alarma para las 8 pm esta noche,snooze_alarm
Establecer mi alarma para esta tarde a las 3 pm ,set_alarm
Apagar la alarma ,cancel_alarm
Establecer alarma para las 6:30 am,set_alarm
Establecer alarma por 10 minutos,set_alarm
Cuántos minutos faltan para la alarma?,time_left_on_alarm
Configurar alarma para repetir cada hora,set_alarm
Dame una alarma en 15 minutos,set_alarm
Establecer alarma para las 5 pm esta noche,set_alarm
Establecer mi alarma para las 6:30 am,set_alarm
Crear una alarma ,set_alarm
Qué alarmas están programadas para mañana?,show_alarms
Puedes configurar la alarma para las 8:30 ,set_alarm
Cancelar alarma de mañana ,cancel_alarm
Quiero saber qué alarmas tengo programadas,show_alarms
Vas a programar una alarma para las 7 am?,set_alarm
Programar una alarma cada 10 minutos durante 2 horas,set_alarm
Alarma de las 6 am,set_alarm
DETENER MI ALARMA,cancel_alarm
Programar la alarma a las 6:55 am,set_alarm
Borrar alarma de las 4:00 am,cancel_alarm
Programar una nueva alarma a las 10 am para mañana en la mañana ,set_alarm
Programar alarma diariamente a las 7 pm,set_alarm
Borrar alarma,cancel_alarm
Posponer todas las alarmas por 7 minutos,snooze_alarm
Programar alarma para las 6 pm,set_alarm
Cancelar alarma ,cancel_alarm
Cancelar mi alarma para el lunes en la mañana?,cancel_alarm
Cancelar la alarma del martes ,cancel_alarm
Programar mi alarma para el martes a las 6 am ,set_alarm
Atrasar mis alarmas una hora,modify_alarm
Programar una alarma por 35 minutos,set_alarm
Cancelar mis alarmas ,cancel_alarm
Borrar todas las alarmas ,cancel_alarm
Programar alarma para cada 3 horas,set_alarm
Programar alarma para cada hora por hoy,set_alarm
Programar mi alarma para que se active cada dos minutos,set_alarm
Encender mi alarma ,set_alarm
Prender todas las alarmas ,set_alarm
Programar alarma para las 12:00 pm ,set_alarm
Borrar todas las alarmas del lunes,cancel_alarm
Programar una alarma diaria a las 6:00 am,set_alarm
Programar una alarma para las 7 am ,set_alarm
Posponer alarma por 10 minutos ,snooze_alarm
Detener alarma ,cancel_alarm
Programar alarma para mañana a las  4pm ,set_alarm
Programar alarma para mañana en la mañana ,set_alarm
Necesito programar una alarma ,set_alarm
Borrar alarma de las 7 am,cancel_alarm
Programar una alarma para mañana a las 6 am ,set_alarm
Cancelar alarmas ,cancel_alarm
Leer todas las alarmas que tengo programas para el viernes  ,show_alarms
Programar una alarma por 20 minutos para mi pizza ,set_alarm
Programar una alarma para mañana a las 5pm ,set_alarm
"Crear una alarma hoy para las 5, 5:20 y 5:40 ",set_alarm
Cancelar mi alarma del viernes ,cancel_alarm
Programar alarma a las 8:30 am para guardar los platos ,set_alarm
Cuántas alarmas tengo programadas para esta semana?,show_alarms
Programar alarma para el lunes a las 5:30 am,set_alarm
Programar una alarma ,set_alarm
Borrar las alarmas guardadas,cancel_alarm
Pausar alarma actual ,snooze_alarm
Cuál es el tiempo restante para mi alarma?,time_left_on_alarm
Apagar la alarma ,cancel_alarm
Programar tres alarmas entre 5-6 mañana ,set_alarm
Dame una alarma en 15 minutos ,set_alarm
me gustaría de configurar una alarma para las 8:00 am,set_alarm
empezar alarma en 10 minutos,set_alarm
Programar alarma para mañana a las 4 am ,set_alarm
Posponer alarma actual por 15 minutos ,snooze_alarm
Programar alarma para mañana a las 3 am,set_alarm
Borrar mi alarma de las 4:30 pm ,cancel_alarm
A qué hora está programada mi alarma de mañana,show_alarms
Muéstrame todas las alarmas ,show_alarms
La alarma está programada?,show_alarms
Programar una alarma todos los domingos a las 7 pm ,set_alarm
Programar una alarma para las 3 pm ,set_alarm
Cuántos minutos quedan para la alarma?,time_left_on_alarm
Tengo una alarma programada para mañana?,show_alarms
Restaurar alarma,cancel_alarm
"Programar una alarma para el martes a las 12 pm, colocar etiqueta a Jill para el almuerzo",set_alarm
Apagar alarma,cancel_alarm
"Crear una alarma lunes, miércoles y viernes a las 3:30 pm",set_alarm
Programar una alarma para mañana a las 8 am,set_alarm
Programar alarma para el próximo martes a las 9 am ,set_alarm
Programar alarma para las 6 am ,set_alarm
Posponer mi alarma ,snooze_alarm
Puedes programarme una alarma para mañana a las 4:30 pm?,set_alarm
Programar alarma cada minuto por 10 minutos,set_alarm
Para cuándo están programadas mis alarmas?,show_alarms
Programar una alarma para mañana a las 11 am ,set_alarm
Programar alarma por cada 3 horas ,set_alarm
me gustaría de configurar una alarma para mañana,set_alarm
configurar alarma para las 730pm por favor.,set_alarm
Programar alarma para las 7 am ,set_alarm
Programar una alarma cada diez minutos ,set_alarm
cuales alarmas yo tengo configuradas,show_alarms
Programar alarma para las 2:30 pm ,set_alarm
posponer mi alarma por la mañana por 30 minutos,snooze_alarm
Programar alarma en una hora desde ahora ,set_alarm
configurar alarma para las 2pm mañana por la tarde.,set_alarm
Cancelar alarma 2 ,cancel_alarm
desconectar todas mis alarmas,cancel_alarm
Cancelar la alarma ,cancel_alarm
cuantas alarmas tengo ya configuradas?,show_alarms
cambiar alarma de 5 am para 6 am,modify_alarm
configurar alarma para lunes 9:00 am,set_alarm
Cancelar todas las alarmas por favor ,cancel_alarm
enseñar todas las alarmas para mañana,show_alarms
Apagar mi alarma por favor ,cancel_alarm
Cancelar mi alarma de las 5 am ,cancel_alarm
podrías desconectar la alarma para mañana,cancel_alarm
configurar alarma para las 9 am,set_alarm
cancelar la ultima alarma,cancel_alarm
Cancelar la alarma de las 9:00 am,cancel_alarm
Cuántas alarmas tengo programadas,show_alarms
Programar alarma para mi cumpleaños ,set_alarm
Borrar todas mis alarmas ,cancel_alarm
agregar alarma para las 7pm para el sabado apenas.,set_alarm
Cancelar todas las alarmas que tengo programadas ,cancel_alarm
configurar alarma para las 4:30 PM.,set_alarm
Cancelar mi alarma a las 5 am ,cancel_alarm
borrar la alarma de la 1:30pm.,cancel_alarm
enseñar todas las alarmas.,show_alarms
Detener alarma ,cancel_alarm
Cuánto tiempo queda para mi alarma?,time_left_on_alarm
a qué hora está configurada mi alarma para mañana por la mañana,show_alarms
configurar alamra para la 1pm todos los días,set_alarm
configurar alarma para las 7:55 am mañana,set_alarm
cancelar mi alarma para mañana por la mañana.,cancel_alarm
Programar mi alarma para mañana en la mañana a las 6 am ,set_alarm
Programar alarma para cada cinco minutos por la próxima media hora ,set_alarm
Cancelar mis primeras dos alarmas ,cancel_alarm
configurar alarma para despertar a las 6am,set_alarm
Déjame ver mis alarmas ,show_alarms
"necesito de despertarme a las 8am mañana, configurar alarma por favor",set_alarm
¿Cuánto tiempo hasta que suene la alarma?,time_left_on_alarm
desconectar mi alarma para Viernes por la mañana,cancel_alarm
cancelar la alarma de la mañana para el día de mañana,cancel_alarm
configurar alarma cada 10 minutos por 1 hora,set_alarm
tengo alguna alarma configurada para mañana?,show_alarms
configurar alarma en 6 horas desde ahora,set_alarm
leer todas mis alarmas de hoy.,show_alarms
tengo alarmas configuradas?,show_alarms
necesito de una alarma configurada para cada 35 minutos,set_alarm
configurar alarma para la 1:30 p.m.,set_alarm
Establecer la alarma al medio día de hoy,set_alarm
Posponer la alarma durante 5 minutos,snooze_alarm
enseñar todas mis alarmas,show_alarms
¿Cuántas horas tengo antes de que suene mi próxima alarma?,time_left_on_alarm
enseñar todas mis alarmas que tengo configuradas durante toda la semana,show_alarms
cancelar mis alarmas,cancel_alarm
configurar mi alarma para el medio día hoy,set_alarm
configurar alarma para hoy por la media noche,set_alarm
enseñar todas mis alarmas por favor,show_alarms
cancelar todas mis alarmas para hoy,cancel_alarm
configurar mi alarma para cada 30 minutos,set_alarm
detener todas mis alarmas para la proxima hora.,cancel_alarm
agregar una alamra para despertar el bebe,set_alarm
configurar alarma para las 8 mañana.,set_alarm
necesito de una alarma configurada para 45 minutos desde ahora,set_alarm
cancelar todas mis alarmas para mañana,cancel_alarm
